timestamp,anger,sadness,joy,intensity
2025-07-21T10:15:00,0.2,0.5,0.3,0.5
2025-07-21T14:45:00,0.1,0.6,0.2,0.4
2025-07-22T09:30:00,0.3,0.4,0.5,0.6
2025-07-22T17:00:00,0.2,0.3,0.6,0.5
2025-07-23T11:20:00,0.4,0.2,0.7,0.6
2025-07-24T13:45:00,0.3,0.5,0.4,0.6
2025-07-25T08:10:00,0.2,0.6,0.3,0.5
2025-07-25T19:20:00,0.1,0.4,0.6,0.6
2025-07-26T10:00:00,0.5,0.4,0.3,0.6
2025-07-27T15:30:00,0.2,0.3,0.5,0.5
2025-07-28T04:11:42.935603,0.0,0.0,0.0,0.0
2025-07-28T04:11:48.172781,0.0,0.0,0.0,0.0
2025-07-28T04:16:09.525410,0.0,0.0,0.0,0.0
2025-07-28T04:16:21.635273,0.0,0.0,0.0,0.0
2025-07-28T04:16:25.493414,0.0,0.0,0.0,0.0
